,Time,Length
22156,59.041325,19
22157,59.041325,20
22158,59.041325,21
22159,59.041325,22
22160,59.041325,23
22161,59.041325,24
22162,59.042919,23
22163,59.042919,22
22164,59.042919,21
22165,59.066027000000005,22
22166,59.066027000000005,23
22167,59.091939,24
22168,59.091939,25
22169,59.091939,26
22170,59.091939,27
22171,59.091939,28
22172,59.091939,29
22173,59.091939,30
22174,59.091939,31
22175,59.091939,32
22176,59.091939,33
22177,59.091939,34
22178,59.091939,35
22179,59.091939,36
22180,59.09534300000001,35
22181,59.09534300000001,34
22182,59.09534300000001,33
22183,59.09534300000001,32
22184,59.095431999999995,31
22185,59.095431999999995,30
22186,59.095431999999995,29
22187,59.095431999999995,28
22188,59.095431999999995,27
22189,59.095431999999995,26
22190,59.095431999999995,25
22191,59.09543299999999,24
22192,59.095509,23
22193,59.09551,22
22194,59.09551,21
22195,59.09551,20
22196,59.116661,21
22197,59.116661,22
22198,59.116661,23
22199,59.116661,24
22200,59.122665000000005,23
22201,59.122665000000005,22
22202,59.122753,21
22203,59.122753,20
22204,59.122753,19
22205,59.122753,18
22206,59.122753,17
22207,59.122753,16
22208,59.122753,15
22209,59.122753,14
22210,59.167708999999995,15
22211,59.167708999999995,16
22212,59.167708999999995,17
22213,59.167708999999995,18
22214,59.167708999999995,19
22215,59.167708999999995,20
22216,59.167708999999995,21
22217,59.167708999999995,22
22218,59.167708999999995,23
22219,59.167708999999995,24
22220,59.167708999999995,25
22221,59.19429399999999,24
22222,59.19429399999999,23
22223,59.19429399999999,22
22224,59.19429399999999,21
22225,59.19429399999999,20
22226,59.19429399999999,19
22227,59.194295,18
22228,59.202470999999996,17
22229,59.202472,16
22230,59.202472,15
22231,59.202472,14
22232,59.202472,13
22233,59.202472,12
22234,59.202472,11
22235,59.202472,10
22236,59.202583,9
22237,59.202583999999995,8
22238,59.202583999999995,7
22239,59.217464,8
22240,59.217464,9
22241,59.217464,10
22242,59.217464,11
22243,59.242886,12
22244,59.242886,13
22245,59.242886,14
22246,59.242886,15
22247,59.242886,16
22248,59.242886,17
22249,59.242886,18
22250,59.242886,19
22251,59.242886,20
22252,59.242886,21
22253,59.242886,22
22254,59.242886,23
22255,59.244829,22
22256,59.244829,21
22257,59.244829,20
22258,59.244829,19
22259,59.275023,18
22260,59.275107999999996,17
22261,59.275107999999996,16
22262,59.275107999999996,15
22263,59.293296,16
22264,59.293296,17
22265,59.293296,18
22266,59.293296,19
22267,59.293296,20
22268,59.293296,21
22269,59.294709,20
22270,59.294709,19
22271,59.294785,18
22272,59.294785,17
22273,59.294785,16
22274,59.294785,15
22275,59.294785,14
22276,59.294785,13
22277,59.318456999999995,14
22278,59.318456999999995,15
22279,59.318456999999995,16
22280,59.318456999999995,17
22281,59.318456999999995,18
22282,59.318456999999995,19
22283,59.318456999999995,20
22284,59.318456999999995,21
22285,59.323863,20
22286,59.323863,19
22287,59.323863,18
22288,59.323863,17
22289,59.323863,16
22290,59.323863,15
22291,59.344339,16
22292,59.344339,17
22293,59.344339,18
22294,59.344339,19
22295,59.344339,20
22296,59.344339,21
22297,59.344339,22
22298,59.355033999999996,21
22299,59.355098,20
22300,59.355098,19
22301,59.355098,18
22302,59.355098,17
22303,59.355098,16
22304,59.355148,15
22305,59.355148,14
22306,59.36916899999999,15
22307,59.36916899999999,16
22308,59.36916899999999,17
22309,59.36916899999999,18
22310,59.36916899999999,19
22311,59.36916899999999,20
22312,59.36916899999999,21
22313,59.36916899999999,22
22314,59.375046999999995,21
22315,59.375046999999995,20
22316,59.375048,19
22317,59.375048,18
22318,59.394513,17
22319,59.394614000000004,16
22320,59.394614000000004,15
22321,59.402978000000004,14
22322,59.402978000000004,13
22323,59.402978000000004,12
22324,59.402978000000004,11
22325,59.402978000000004,10
22326,59.402978000000004,9
22327,59.402978000000004,8
22328,59.402979,7
22329,59.422295999999996,8
22330,59.422295999999996,9
22331,59.422295999999996,10
22332,59.422295999999996,11
