"No.","Time","Source","Destination","Protocol","losts","count","req_ms","losts_extend"
"89868","118.419335","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10740 : 0,33,44,45,47,48,62,63,]","8","5788353",""
"89893","118.445006","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10768 : 0,11,37,38,39,]","5","5788378",""
"89912","118.469621","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10793 : 0,5,18,]","3","5788403",""
"89930","118.495017","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10740 : 0,33,47,48,63,]","5","5788429",""
"89956","118.526017","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10768 : 0,11,37,38,39,45,46,47,49,50,]","10","5788454",""
"89962","118.546289","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10798 : 0,13,]","2","5788479",""
"89986","118.570826","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10803 : 0,17,18,19,20,21,22,]","7","5788504",""
"90000","118.596954","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10768 : 0,11,37,39,45,46,49,50,]","8","5788530",""
"90018","118.621856","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10798 : 0,13,]","2","5788555",""
"90039","118.647336","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10803 : 0,19,21,22,]","4","5788580",""
"90058","118.672132","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10768 : 0,39,45,46,49,50,]","6","5788606",""
"90074","118.697096","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10811 : 0,]","1","5788631",""
"90091","118.724123","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10803 : 0,19,21,22,24,25,26,27,28,29,30,]","11","5788657",""
"90107","118.748972","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10813 : 0,1,4,5,]","4","5788682",""
"90127","118.774116","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10811 : 0,]","1","5788708",""
"90142","118.799905","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10803 : 0,19,21,22,24,25,27,28,29,33,34,35,]","12","5788733",""
"90157","118.824969","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10814 : 0,3,]","2","5788758",""
"90191","118.850014","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10811 : 0,]","1","5788783",""
"90203","118.875410","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10803 : 0,19,22,24,27,28,29,34,35,37,38,39,40,]","13","5788809",""
"90220","118.900861","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10814 : 0,3,]","2","5788834",""
"90252","118.925810","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10845 : 0,1,2,4,]","4","5788859",""
"90275","118.951072","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10803 : 0,22,27,28,29,34,35,37,38,39,40,]","11","5788884",""
"90292","118.976156","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10814 : 0,3,39,40,41,43,44,45,]","8","5788910",""
"90321","119.000162","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10845 : 0,1,4,]","3","5788934",""
"90347","119.025673","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10825 : 0,5,6,12,13,16,18,]","7","5788959",""
"90365","119.051250","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10814 : 0,39,40,41,44,]","5","5788985",""
"90380","119.075872","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10845 : 0,]","1","5789009",""
"90400","119.100512","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10825 : 0,5,6,12,13,16,18,39,40,41,]","10","5789034",""
"90415","119.126588","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10814 : 0,40,41,44,]","4","5789059",""
"90433","119.151335","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10845 : 0,]","1","5789084",""
"90448","119.178763","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10825 : 0,6,13,16,18,39,40,41,]","8","5789109",""
"90474","119.203019","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10814 : 0,40,41,44,]","4","5789134",""
"90496","119.229996","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10845 : 0,]","1","5789160",""
"90523","119.251186","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10825 : 0,6,13,16,40,41,]","6","5789185",""
"90531","119.277140","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10814 : 0,44,54,55,56,57,58,59,60,61,]","10","5789210",""
"90554","119.302390","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10878 : 0,1,2,3,4,6,]","6","5789235",""
"90580","119.326987","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10825 : 0,40,41,]","3","5789260",""
"90593","119.352502","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10868 : 0,2,3,4,5,6,]","6","5789286",""
"90609","119.377690","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10881 : 0,3,]","2","5789311",""
"90631","119.402785","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10825 : 0,]","1","5789336",""
"90650","119.427871","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10868 : 0,4,5,6,]","4","5789361",""
"90662","119.453460","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10881 : 0,6,7,8,9,10,12,13,14,]","9","5789387",""
"90703","119.503699","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10868 : 0,4,6,29,30,31,]","6","5789437",""
"90725","119.529674","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10881 : 0,6,7,8,10,12,13,14,]","8","5789463",""
"90770","119.579491","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10868 : 0,6,31,33,34,35,36,37,38,40,41,]","11","5789513",""
"90787","119.605035","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10881 : 0,6,12,14,]","4","5789538",""
"90830","119.655866","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10868 : 0,6,33,34,35,36,37,38,40,41,43,44,45,46,]","14","5789589",""
"90841","119.680007","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10881 : 0,6,12,]","3","5789614",""
"90886","119.732290","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10874 : 0,28,30,32,34,35,37,38,40,]","9","5789666",""
"90895","119.758216","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10881 : 0,12,]","2","5789692",""
"90915","119.783663","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10918 : 0,1,2,3,4,]","5","5789717",""
"90927","119.809608","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10874 : 0,28,30,32,34,35,37,38,40,50,51,]","11","5789743",""
"90946","119.835062","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10881 : 0,12,46,47,48,]","5","5789768",""
"90965","119.860289","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10919 : 0,1,2,3,]","4","5789793",""
"90976","119.884803","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10906 : 0,3,5,6,19,]","5","5789818",""
"90993","119.909433","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10881 : 0,12,46,47,48,50,51,]","7","5789843",""
"91020","119.934081","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10919 : 0,]","1","5789868",""
"91043","119.960158","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10906 : 0,3,5,6,19,]","5","5789893",""
"91064","119.985199","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10881 : 0,12,46,48,53,54,55,56,58,]","9","5789918",""
"91080","120.009296","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10919 : 0,]","1","5789943",""
"91111","120.034959","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10911 : 0,1,14,]","3","5789968",""
"91117","120.060175","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10881 : 0,12,46,48,53,55,56,]","7","5789993",""
